,trade_date,close,open,high,low,pre_close,pct_chg,vol,amount
0,20210630,202.0,205.3,211.5,180.0,205.55,-0.0173,32944401.0,6397747438.0
1,20210531,205.55,195.87,208.89,172.0,195.87,0.0494,35529680.0,6909429024.0
2,20210430,195.87,178.68,199.97,169.37,178.69,0.0961,29939898.0,5514382245.0
3,20210331,178.69,191.4,199.22,166.21,189.03,-0.0547,39043250.0,7051807233.0
4,20210226,189.03,215.0,241.67,187.0,217.59,-0.1313,38685454.0,8501498534.0
5,20210129,217.59,206.0,259.9,201.01,205.29,0.0599,49794879.0,11337475484.0
6,20201231,205.29,186.72,213.0,182.0,186.98,0.0979,37722086.0,7450319733.0
7,20201130,186.98,201.15,211.0,180.6,198.55,-0.0583,38808245.0,7659599754.0
8,20201030,198.55,153.38,207.51,151.7,151.0,0.3149,38538449.0,6854328583.0
9,20200930,151.0,159.87,171.63,148.8,159.88,-0.0555,26276300.0,4154105386.0
10,20200831,159.88,152.4,173.0,150.6,151.42,0.0559,37140692.0,5973568977.0
11,20200731,151.42,160.76,180.0,143.91,160.65,-0.0575,62643470.0,10161446299.0
12,20200630,160.65,179.9,180.0,157.0,178.61,-0.1006,39703741.0,6616046640.0
13,20200529,182.41,149.3,185.2,147.97,150.27,0.2139,52395381.0,8877429731.0
14,20200430,150.27,153.5,165.4,143.6,154.97,-0.0303,50340751.0,7781976203.0
15,20200331,154.97,175.48,188.22,136.01,171.85,-0.0982,100971938.0,16630326251.0
16,20200228,171.85,71.34,193.99,71.34,59.45,1.8907,164271361.0,28422100094.0
